"sblack","shisp","swhite","sother","smale","sage","sempl","sincome","spop","daytime","inctype_lin","omajblack","omajhisp","omajwhite","omajother","osplit","sbehavior","year","anyuseofforce_coded"
1,0,0,0,1,18,0,1,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,20,1,2,4,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,22,1,2,3,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,22,1,3,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,22,1,1,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,29,1,1,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,28,0,1,4,1,1,0,0,1,0,0,1,2011,1
1,0,0,0,1,26,1,1,1,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,25,0,1,4,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,30,1,3,4,1,2,1,0,0,0,0,0,2011,0
1,0,0,0,1,41,1,1,1,1,1,0,0,1,0,0,0,2011,0
1,0,0,0,1,44,1,3,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,41,1,3,4,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,47,1,1,1,1,2,0,1,0,0,0,0,2011,0
1,0,0,0,1,48,1,3,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,52,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,16,1,3,1,1,2,0,1,0,0,0,1,2011,0
1,0,0,0,1,17,0,2,1,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,17,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,18,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,0,1,1,19,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,18,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,0,1,1,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,19,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,1,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,21,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,20,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,20,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,1,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,21,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,0,3,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,24,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,23,1,3,1,1,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,22,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,23,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,22,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,27,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,27,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,28,1,3,3,0,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,27,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,25,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,28,0,2,4,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,26,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,25,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,0,1,1,28,1,3,4,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,1,25,1,3,4,1,2,1,0,0,0,0,0,2011,0
0,1,0,0,1,28,1,1,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,27,0,3,1,0,1,0,0,1,0,0,1,2011,0
0,0,1,0,1,27,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,29,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,25,1,3,1,0,2,1,0,0,0,0,0,2011,0
0,0,1,0,1,26,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,29,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,27,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,28,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,32,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,32,1,3,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,1,30,1,1,4,0,2,0,0,1,0,0,1,2011,1
0,0,1,0,1,32,1,2,4,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,31,1,3,4,0,1,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,3,4,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,30,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,33,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,1,34,1,3,1,1,2,0,0,1,0,0,0,2011,0
